Title,Wirkstoff,Wirkstoff-Gruppe,Max. Einsätze pro Jahr,Dosis pro HL,Dosis pro HA,Karenzzeit,bienengefährlich,Einschränkung
Dodiprev 400 SC,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr
Domark 125,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Douro 10 WG,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Douro 100 EC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Dribbling 240 EC,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,,,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,,nur zwischen der letzten Septemberdekade und der ersten Maidekade
Driscoll,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
"Duokar 2,5 EW","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Duokar 20 EW,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Dynamec EC,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Ecodian Carpocapsa,3000 St.,,,,3000 St.,,,
Efuzin 400 SC,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr
Eko Oil Spray,20,,,20,,20,,
Elios WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Elios WG Top,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Emerald 125,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Emerald 40 EW,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Envidor 240 SC,"max. 2 Behandlungen gegen Spinnmilben pro Jahr, zugelassen bis zum 30.04.2020",,"max. 2 Behandlungen gegen Spinnmilben pro Jahr, zugelassen bis zum 30.04.2020","max. 2 Behandlungen gegen Spinnmilben pro Jahr, zugelassen bis zum 30.04.2020","max. 2 Behandlungen gegen Spinnmilben pro Jahr, zugelassen bis zum 30.04.2020","max. 2 Behandlungen gegen Spinnmilben pro Jahr, zugelassen bis zum 30.04.2020","max. 2 Behandlungen gegen Spinnmilben pro Jahr, zugelassen bis zum 30.04.2020","max. 2 Behandlungen gegen Spinnmilben pro Jahr, zugelassen bis zum 30.04.2020"
Epik,"max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege",,"max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege","max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege","max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege","max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege",,"max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege"
Epik SL,"max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege",,"max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege","max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege","max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege","max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege",,"max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege"
Erbitox M Pro,80,,80,,80,80,,
Estiuoil,15 l,,15 l,15 l,15 l,,,
Ethrel,"1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni",,"1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni","1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni","1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni","1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni",,"1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni"
Evure Pro,30,,30,30,30,30,,
Exilis,10 l,,,10 l,10 l,,,
Fenoxilene 200,80,,80,,80,80,,
Filan WG,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,,max. 4 Behandlungen mit Carboxamiden pro Jahr
Fitop 80,7,,,7,,7,,
Fixormon,7,,,7,,7,,
Flag,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Flanco SC,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Flint,max. 3 Behandlungen mit Strobilurinen pro Jahr,max. 3 Behandlungen mit Strobilurinen pro Jahr,max. 3 Behandlungen mit Strobilurinen pro Jahr,max. 3 Behandlungen mit Strobilurinen pro Jahr,max. 3 Behandlungen mit Strobilurinen pro Jahr,max. 3 Behandlungen mit Strobilurinen pro Jahr,,max. 3 Behandlungen mit Strobilurinen pro Jahr
Flipper,20 l,,20 l,20 l,20 l,,,
Flomill,3,,3,,3,3,,
Flonic,X,,X,,X,X,X,
Florbac WG,"1,5 kg",,"1,5 kg","1,5 kg","1,5 kg",,,
Flowbrix,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Floxy 400 SC,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr
Fontelis,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,max. 4 Behandlungen mit Carboxamiden pro Jahr,,max. 4 Behandlungen mit Carboxamiden pro Jahr
Fosbel 80 WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Fosim,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Fruit-up,7,,,7,,7,,
Fulldina 400 SC,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr
Geoxe,3,,3,3,3,3,,
Geramid-Neu,30,,,30,,30,,
Geramid-Neu D,30,,,30,,30,,
Geramid-Neu SL,30,,,30,,30,,
GerBA 4 LG,5 l,,,5 l,5 l,,,
GerBAthin 2 LG,10 l,,,10 l,10 l,,,
Gerephon SL,"1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni",,"1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni","1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni","1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni","1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni",,"1 Behandlung mit max. 0,6 l/ha oder 2 Behandlungen mit max. 0,375 l/ha, bis 15. Juni"
Gerlagib LG,nur Apfel,,,nur Apfel,,,,nur Apfel
Gibb Plus,nur Apfel,,,nur Apfel,nur Apfel,,,nur Apfel
Gladiator,"max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr",,"max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr"
Glicober,28,,,,28,28,,
Glifene HP,28,,,,28,28,,
Glifene Plus,28,,,,28,28,,
Glifosar Flash,9 l/Jahr,,,,9 l/Jahr,,,
Gliphogan Top CL,9 l/Jahr,,,,9 l/Jahr,,,
Glyfos Pro,"7,2 l/Jahr",,,,"7,2 l/Jahr",,,
Glyfos Ultra,9 l/Jahr,,,,9 l/Jahr,,,
Gondor,1 l,,,,1 l,,,
Grifon Più,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Hallig 80 WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Heliocuivre,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Heliosoufre S,3,,3,,3,3,,
Hereu,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,,,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,,nur zwischen der letzten Septemberdekade und der ersten Maidekade
